Date,Episode,Hour,Action,Battery_Energy,System_Loss
2024-11-27,2,18,"[0.46648678183555603, 0.14082680642604828, -0.9893556237220764, -0.4918777048587799, -0.9148632884025574]",3.6,550.4809338019987
2024-11-27,2,19,"[0.11195582896471024, -0.23117397725582123, -0.9418998956680298, -0.5467893481254578, -0.7937496900558472]",3.6,541.9135593447622
2024-11-27,2,20,"[-0.03358583152294159, -0.16518816351890564, -0.9327123165130615, -0.49277791380882263, -0.7418472170829773]",3.567085885107517,508.5182350005705
2024-11-27,2,21,"[0.09488557279109955, -0.12654215097427368, -0.9260047674179077, -0.5542224049568176, -0.7147104144096375]",3.6,561.5257654091157
2024-11-27,2,22,"[0.030727380886673927, -0.13220259547233582, -0.9385980367660522, -0.5573281049728394, -0.7917704582214355]",3.6,581.9503911052326
2024-11-27,2,23,"[-0.033211126923561096, -0.08989392966032028, -0.9417341351509094, -0.5534540414810181, -0.8188347220420837]",3.56745309561491,543.339925348765
2024-11-27,2,24,"[-0.08668171614408493, -0.23877455294132233, -0.9132406115531921, -0.44827741384506226, -0.8171088099479675]",3.482505013793707,532.7024748166764
2024-11-27,3,1,"[-0.014375516213476658, -0.2213771790266037, -0.9217652082443237, -0.44811147451400757, -0.7935779690742493]",1.9859119941107928,535.9676777421781
2024-11-27,3,2,"[0.05364643409848213, -0.15993262827396393, -0.9302903413772583, -0.43801167607307434, -0.7845710515975952]",2.0384854995273054,551.6428396508511
2024-11-27,3,3,"[-0.05953613296151161, -0.1966858059167862, -0.9161179065704346, -0.45126447081565857, -0.8001907467842102]",1.980140089225024,530.7389466978199
2024-11-27,3,4,"[-0.08605175465345383, -0.2643016576766968, -0.9109241962432861, -0.42785295844078064, -0.8064810633659363]",1.8958093696646392,535.9362610783189
2024-11-27,3,5,"[-0.11215326189994812, -0.21787865459918976, -0.9087462425231934, -0.4921892285346985, -0.8052304983139038]",1.78589917300269,553.9429998665962
2024-11-27,3,6,"[-0.16027942299842834, -0.2082434445619583, -0.9091714024543762, -0.5085572004318237, -0.8049067854881287]",1.6288253384642304,604.4038223138924
2024-11-27,3,7,"[-0.18581213057041168, -0.2667885422706604, -0.9380042552947998, -0.4893192946910858, -0.8363009691238403]",1.4467294505052268,864.8755661558502
2024-11-27,3,8,"[-0.14090017974376678, 0.023045526817440987, -0.9966453909873962, -0.4641432464122772, -0.8845891952514648]",1.3086472743563353,939.6369462513711
2024-11-27,3,9,"[0.02158588171005249, 0.12659166753292084, -0.9980641603469849, -0.46618223190307617, -0.9386276006698608]",1.3298014384321868,1013.0983344086449
2024-11-27,3,10,"[0.48943206667900085, 0.2594970166683197, -0.9991994500160217, -0.5413762927055359, -0.9725327491760254]",1.8094448637776077,1057.197290095591
2024-11-27,3,11,"[0.3159131705760956, 0.23311364650726318, -0.9991005659103394, -0.6901403069496155, -0.9804759621620178]",2.1190397709421815,1095.7053613943892
2024-11-27,3,12,"[0.49684205651283264, 0.5423385500907898, -0.9997532963752747, -0.4712323248386383, -0.9854263663291931]",2.6059449863247575,1070.239382835175
2024-11-27,3,13,"[0.2841735780239105, 0.0800265371799469, -0.9992208480834961, -0.7462361454963684, -0.9806503653526306]",2.88443509278819,1009.323083284332
2024-11-27,3,14,"[0.263068288564682, 0.222535640001297, -0.9993163347244263, -0.6800630688667297, -0.979738175868988]",3.1422420155815782,982.6865501897314
2024-11-27,3,15,"[0.4729051887989044, 0.04123290255665779, -0.9992624521255493, -0.6516064405441284, -0.9806094169616699]",3.6,950.6478463657286
2024-11-27,3,16,"[0.4859016239643097, 0.31353136897087097, -0.9990872740745544, -0.7311619520187378, -0.9802015423774719]",3.6,912.4325952448074
2024-11-27,3,17,"[0.2788873016834259, 0.19479624927043915, -0.9983826279640198, -0.7731871604919434, -0.9700156450271606]",3.6,851.2098378083369
2024-11-27,3,18,"[-0.1592700183391571, -0.20124663412570953, -0.9882110357284546, -0.7687672972679138, -0.8905766606330872]",3.443915382027626,807.7871890536798
2024-11-27,3,19,"[-0.7060998678207397, -0.09514686465263367, -0.9805564880371094, -0.6995938420295715, -0.8011566996574402]",2.751937511563301,760.0108770959956
2024-11-27,3,20,"[-0.7073876857757568, 0.01699511893093586, -0.981499433517456, -0.602282702922821, -0.7978515028953552]",2.0586975795030593,685.3342366732189
2024-11-27,3,21,"[-0.4885864555835724, 0.0739382952451706, -0.9694902300834656, -0.5967227816581726, -0.7426772117614746]",1.5798828530311584,574.3529546030229
2024-11-27,3,22,"[-0.10827618092298508, -0.0011202688328921795, -0.9471657872200012, -0.4160933792591095, -0.6955097317695618]",1.473772195726633,478.9404572818796
2024-11-27,3,23,"[0.12944231927394867, -0.18168342113494873, -0.9153504967689514, -0.41844668984413147, -0.7079645991325378]",1.6006256686151026,459.1770411095967
2024-11-27,3,24,"[0.05192619562149048, -0.13255545496940613, -0.898946225643158, -0.4445558488368988, -0.6909412741661072]",1.6515133403241633,463.84039942161047
2024-11-27,4,1,"[0.18160828948020935, -0.09391700476408005, -0.9249573945999146, -0.3473682403564453, -0.7333123683929443]",2.177976123690605,463.7322082025905
2024-11-27,4,2,"[0.10365264862775803, -0.13167482614517212, -0.9074001312255859, -0.4983426332473755, -0.6864740252494812]",2.279555719345808,506.00303029145607
2024-11-27,4,3,"[-0.0037961271591484547, -0.14507366716861725, -0.9119406938552856, -0.41970956325531006, -0.7632108926773071]",2.2758355147298426,511.27444473154486
2024-11-27,4,4,"[-0.12584041059017181, -0.14490483701229095, -0.880424439907074, -0.4688473343849182, -0.7993079423904419]",2.152511912351474,497.8760475083147
2024-11-27,4,5,"[-0.10543014854192734, -0.22946293652057648, -0.8835158944129944, -0.3802677094936371, -0.7804502844810486]",2.049190366780385,524.479222270512
2024-11-27,4,6,"[-0.12732690572738647, -0.14884372055530548, -0.8968783020973206, -0.46246445178985596, -0.813694417476654]",1.9244099991675463,595.0022472684035
2024-11-27,4,7,"[-0.14674119651317596, -0.2746208906173706, -0.9431407451629639, -0.48613184690475464, -0.85504150390625]",1.780603626584634,827.0389257945827
2024-11-27,4,8,"[0.05699484422802925, 0.1990686058998108, -0.9956679940223694, -0.4061998724937439, -0.9028910994529724]",1.8364585739281025,1009.090748620717
2024-11-27,4,9,"[0.08301428705453873, -0.16474585235118866, -0.998296856880188, -0.6345762610435486, -0.965721607208252]",1.9178125752415505,1067.9257711751375
2024-11-27,4,10,"[0.7329012155532837, 0.4431513845920563, -0.9998119473457336, -0.47249001264572144, -0.9851136207580566]",2.6360557664837687,1186.0150045370565
2024-11-27,4,11,"[0.6966279149055481, 0.1511121690273285, -0.9999380111694336, -0.8248897790908813, -0.9851052761077881]",3.318751123091206,1555.7561474188196
2024-11-27,4,12,"[0.6034663319587708, 0.6203829050064087, -0.9999940991401672, -0.8650177717208862, -0.9965716600418091]",3.6,1470.1288208472358
2024-11-27,4,13,"[0.6647161841392517, 0.6544159054756165, -0.9999878406524658, -0.8682484030723572, -0.9974399209022522]",3.6,1436.4858608335462
2024-11-27,4,14,"[0.6636397838592529, 0.6409814357757568, -0.999991238117218, -0.8819580674171448, -0.99809330701828]",3.6,1446.458094091686
2024-11-27,4,15,"[0.6877309083938599, 0.2661045491695404, -0.9999859929084778, -0.8795077800750732, -0.9955058693885803]",3.6,1447.6947669774781
2024-11-27,4,16,"[0.6806132793426514, 0.6742779016494751, -0.9999899864196777, -0.8572227954864502, -0.9975082874298096]",3.6,1308.3500990217974
2024-11-27,4,17,"[0.15629231929779053, 0.21770928800106049, -0.9997673034667969, -0.8449445962905884, -0.9885541200637817]",3.6,1145.7151569419289
2024-11-27,4,18,"[0.13870133459568024, 0.09166840463876724, -0.9984269142150879, -0.7624982595443726, -0.9665004014968872]",3.6,1053.0203393650322
2024-11-27,4,19,"[-0.5861005783081055, -0.15415288507938385, -0.9958354830741882, -0.7229214906692505, -0.929008960723877]",3.0256214332580567,987.7915634007496
2024-11-27,4,20,"[-0.5214208960533142, -0.22817519307136536, -0.9928377866744995, -0.7875693440437317, -0.8895993232727051]",2.5146289551258088,891.6039412761057
2024-11-27,4,21,"[-0.3522726595401764, 0.04753314331173897, -0.9930582642555237, -0.8065903186798096, -0.8888677954673767]",2.169401748776436,853.787848719367
2024-11-27,4,22,"[-0.1457051932811737, -0.13218103349208832, -0.9903149008750916, -0.7413642406463623, -0.8809171319007874]",2.0266106593608857,783.316795828685
2024-11-27,4,23,"[-0.07801364362239838, -0.03447119891643524, -0.987558901309967, -0.7859298586845398, -0.8920960426330566]",1.9501572886109353,604.5952417003292
