Date,Episode,Total_Reward,Total_Loss
2024-11-27,155,-14537.921926064111,14167.108603483981
2024-11-27,156,-14645.881037934401,14293.690156305576
2024-11-27,157,-14584.833897817005,14232.374280918117
2024-11-27,158,-15917.1101169543,15567.630611417431
2024-11-27,159,-15535.316248529143,15182.813930060016
2024-11-27,160,-12089.294270558787,11722.41862615191
2024-11-27,161,-9827.821110972454,9476.02717148117
2024-11-27,162,-14948.246431025183,14579.215248683926
2024-11-27,163,-19258.67242847533,18900.179270776003
2024-11-27,164,-16087.427661832511,15725.997955879655
2024-11-27,165,-15843.653177786737,15496.361972240715
2024-11-27,166,-16695.649619124935,16336.098264563982
2024-11-27,167,-10666.095144046798,10287.749271235563
2024-11-27,168,-7719.686507681345,7356.169623674624
2024-11-27,169,-12428.836191385359,12063.40306581821
2024-11-27,170,-13342.712765886343,12981.495462269266
2024-11-27,171,-14787.4146650819,14430.71235002166
2024-11-27,172,-15045.963742756916,14684.81157586812
2024-11-27,173,-12918.442197360842,12560.983920178463
2024-11-27,174,-8666.896363364001,8305.197402224388
2024-11-27,175,-6841.663202119065,6498.891561893248
2024-11-27,176,-12196.177625309785,11832.244015752325
2024-11-27,177,-13731.885681104493,13376.013389634256
2024-11-27,178,-16755.37883947505,16396.188798390736
2024-11-27,179,-16998.243245531292,16640.607375454376
2024-11-27,180,-16465.093969448095,16096.905830194466
2024-11-27,181,-10563.433798312662,10185.06549364518
2024-11-27,182,-7954.265708666139,7596.044187231736
2024-11-27,183,-13457.172400190731,13095.100783841042
2024-11-27,184,-9582.423169834832,9218.120479267696
2024-11-27,185,-17373.903635282382,17007.439736827084
2024-11-27,186,-19345.613287913973,18988.25195779339
2024-11-27,187,-18463.225724564254,18102.99054236486
2024-11-27,188,-11482.472838463073,11120.003047803395
2024-11-27,189,-9610.497298224349,9253.090319214622
2024-11-27,190,-14720.966159938178,14349.993755214953
2024-11-27,191,-17935.522253461702,17569.79755296828
2024-11-27,192,-19186.30912002121,18826.623699912183
2024-11-27,193,-15948.237179329179,15589.658201470522
2024-11-27,194,-15272.817278301125,14908.810343899491
2024-11-27,195,-12670.324930694094,12314.698570413218
2024-11-27,196,-10044.693072011089,9672.649842416628
2024-11-27,197,-18480.81827229745,18112.457970452168
2024-11-27,198,-20509.782888707163,20154.046742694794
2024-11-27,199,-19669.963182426043,19313.803128141102
2024-11-27,200,-20600.498626696535,20239.067850447766
2024-11-27,201,-17531.41635313347,17170.067479704172
2024-11-27,202,-12653.444613970672,12292.039912904827
2024-11-27,203,-11034.620310044818,10652.27406284204
2024-11-27,204,-20475.919400613,20089.104710131578
2024-11-27,205,-17342.913947469267,16966.47110953451
2024-11-27,206,-17018.969980337886,16657.09425419879
2024-11-27,207,-17102.93655570151,16739.97297228591
2024-11-27,208,-16940.62160871285,16586.912642498104
2024-11-27,209,-12077.48300486687,11712.81207712084
2024-11-27,210,-9582.105415819813,9214.442461693197
2024-11-27,211,-15977.060168553047,15608.543205921982
2024-11-27,212,-17657.11003974967,17303.007893688296
2024-11-27,213,-16649.305980197947,16286.971534721531
2024-11-27,214,-13708.07327801708,13350.993718695629
2024-11-27,215,-13439.021619947336,13080.934903839923
2024-11-27,216,-9191.374657464545,8827.502368642006
2024-11-27,217,-6900.488525568495,6532.273722621685
2024-11-27,218,-12803.319271119435,12440.599599558334
2024-11-27,219,-14144.329235537467,13790.578258391295
2024-11-27,220,-14373.648821828148,14012.237670485365
2024-11-27,221,-15036.320731229847,14681.270123108792
2024-11-27,222,-14072.658277177708,13711.667123275689
2024-11-27,223,-9619.78837280702,9251.337045798462
2024-11-27,224,-7079.482096201172,6711.029038083323
2024-11-27,225,-12884.73000669065,12518.86866050139
2024-11-27,226,-13729.718302610856,13373.252264222034
2024-11-27,227,-15608.480630645867,15243.585717968264
2024-11-27,228,-15465.400426946804,15104.318927395034
2024-11-27,229,-15132.735192055687,14769.24989370235
2024-11-27,230,-11349.005779659794,10967.428645385015
2024-11-27,231,-9336.72556732391,8957.025994951306
2024-11-27,232,-13960.128945521834,13584.815798745129
2024-11-27,233,-14214.08018771522,13854.585579644445
2024-11-27,234,-14515.30820194688,14158.514676931427
2024-11-27,235,-13974.115705323606,13615.005194650212
2024-11-27,236,-13466.648528872287,13104.9607901023
2024-11-27,237,-7806.678180149176,7455.05505944581
2024-11-27,238,-7312.417113513256,6937.677352853763
2024-11-27,239,-12393.88000480152,12032.58119447896
2024-11-27,240,-13368.904064239974,13002.9970797034
2024-11-27,241,-15035.02898453842,14668.734305811562
2024-11-27,242,-13811.358537787022,13453.902551178257
2024-11-27,243,-13039.846631147942,12682.441542281987
2024-11-27,244,-8087.0247627559975,7737.279598010103
2024-11-27,245,-8131.939348844324,7755.206988471724
2024-11-27,246,-7841.4008558982705,7462.5604202256945
2024-11-27,247,-11156.859800400458,10797.686386283025
2024-11-27,248,-12892.458164126181,12531.846009008528
2024-11-27,249,-13911.325565993413,13551.566579784572
2024-11-27,250,-14424.672599774787,14062.417747850639
2024-11-27,251,-9895.857441520633,9531.9289947096
2024-11-27,252,-7838.770409558327,7467.033317719716
2024-11-27,253,-12970.32758533011,12609.555824881041
2024-11-27,254,-17155.427613986754,16791.0291946837
2024-11-27,255,-17268.471447793232,16905.062391855612
2024-11-27,256,-18138.50465678592,17770.478755877826
2024-11-27,257,-17334.251646517776,16972.7457162368
2024-11-27,258,-12438.329003735944,12064.183977599449
2024-11-27,259,-7372.937641338399,6993.540618249182
2024-11-27,260,-12750.504539039544,12389.898640133864
2024-11-27,261,-15704.300479055679,15338.366677793982
2024-11-27,262,-15390.983474877774,15032.166631968712
2024-11-27,263,-17050.405650108598,16687.42365578167
2024-11-27,264,-19857.2743729197,19493.43053413358
2024-11-27,265,-14132.87599930856,13764.461610216089
2024-11-27,266,-9587.60081704363,9212.16976233141
2024-11-27,267,-12777.08775959585,12405.338111350758
2024-11-27,268,-13102.795091855487,12742.873939483052
2024-11-27,269,-13510.263016881132,13157.846689135393
2024-11-27,270,-14057.29136082905,13701.409588473678
2024-11-27,271,-13135.44834930031,12779.278658433457
2024-11-27,272,-8343.161906491541,7974.789057874983
2024-11-27,273,-6870.510105336802,6504.4183270205385
2024-11-27,274,-12475.955610653355,12111.943130590842
2024-11-27,275,-13571.910252319645,13212.222900570323
2024-11-27,276,-13032.269979482942,12672.456855904242
2024-11-27,277,-12930.118411457626,12568.112384189533
2024-11-27,278,-13897.011472401713,13535.983023649891
2024-11-27,279,-9119.206276229666,8756.374315518626
2024-11-27,280,-6864.064622016154,6489.176527391168
2024-11-27,281,-10816.063928378517,10451.153134592945
2024-11-27,282,-12928.153147812498,12573.264533494395
2024-11-27,283,-13163.915319076408,12805.89524156274
2024-11-27,284,-13119.44967554708,12759.88787163681
2024-11-27,285,-12547.047217702682,12196.912001584176
2024-11-27,286,-9006.389156263778,8653.814478336237
2024-11-27,287,-7208.744502457074,6845.962535327191
2024-11-27,288,-11662.20048763553,11298.365888991997
2024-11-27,289,-12669.170494349257,12316.826719491744
2024-11-27,290,-12769.223885286765,12406.288139777938
2024-11-27,291,-12737.84028929138,12382.89071735727
