Date,Episode,Hour,Action,Battery_Energy,System_Loss
2024-12-02,4,20,"[0.7693747282028198, 0.9449520707130432, 0.8297820687294006, 0.5896657109260559, 0.09325575083494186]",3.6,5.279003669144372
2024-12-02,4,21,"[0.6911926865577698, 0.9479594230651855, 0.8987571001052856, 0.5310792922973633, -0.08318550139665604]",3.6,4.707964973156923
2024-12-02,4,22,"[0.7732226848602295, 0.9228850603103638, 0.7695724368095398, 0.5321764945983887, 0.14341728389263153]",3.6,4.2285695792949145
2024-12-02,4,23,"[0.6201616525650024, 0.9382905960083008, 0.8812404870986938, 0.36469119787216187, -0.15625450015068054]",3.6,2.5645720126808307
2024-12-02,4,24,"[0.6139349341392517, 0.8244937658309937, 0.7589734196662903, 0.1423768699169159, -0.0905301496386528]",3.6,1.9866995023894967
2024-12-02,5,1,"[0.6193947792053223, 0.6963733434677124, 0.5231502652168274, 0.23236802220344543, -0.027567120268940926]",2.607006883621216,1.8672881376553208
2024-12-02,5,2,"[0.5720211267471313, 0.7431624531745911, 0.6935467720031738, 0.16176767647266388, -0.1041208952665329]",3.1675875878334048,1.854615005680462
2024-12-02,5,3,"[0.6198270916938782, 0.7482061386108398, 0.6573716402053833, 0.14852382242679596, -0.03785271570086479]",3.6,1.8625451567292208
2024-12-02,5,4,"[0.5957326292991638, 0.7714766263961792, 0.701248824596405, 0.10898169875144958, -0.03846961632370949]",3.6,1.805998436950273
2024-12-02,5,5,"[0.6023262739181519, 0.7113779783248901, 0.6466007232666016, 0.16774174571037292, -0.051051586866378784]",3.6,2.0241345108015336
2024-12-02,5,6,"[0.5880652666091919, 0.7352883219718933, 0.5707758665084839, 0.18277187645435333, -0.0013737521367147565]",3.6,2.3707288649030653
2024-12-02,5,7,"[0.6651338934898376, 0.8111178278923035, 0.7275651693344116, 0.17949296534061432, -0.04814200848340988]",3.6,3.281891759159859
2024-12-02,5,8,"[0.7267923951148987, 0.9265121817588806, 0.7963485717773438, 0.06882814317941666, -0.0025122559163719416]",3.6,3.356818480917799
2024-12-02,5,9,"[0.7005547285079956, 0.9179861545562744, 0.6372314095497131, 0.22884111106395721, 0.16815143823623657]",3.6,4.8108016398988305
2024-12-02,5,10,"[0.640651285648346, 0.9709176421165466, 0.903257429599762, 0.455257385969162, -0.02594524808228016]",3.6,4.941586828599933
2024-12-02,5,11,"[0.6959108114242554, 0.9685550332069397, 0.8483836650848389, 0.39149612188339233, 0.1533263921737671]",3.6,6.8829768798011886
2024-12-02,5,12,"[0.7869916558265686, 0.985914409160614, 0.8410036563873291, 0.5947000980377197, 0.32313111424446106]",3.6,5.658254833943085
2024-12-02,5,13,"[0.6203694343566895, 0.9807366728782654, 0.8584358096122742, 0.6365236043930054, 0.18870428204536438]",3.6,5.841998867928334
2024-12-02,5,14,"[0.6349704265594482, 0.9810318350791931, 0.8524366617202759, 0.6209927797317505, 0.23147088289260864]",3.6,6.241024548531905
2024-12-02,5,15,"[0.6387208700180054, 0.9853671789169312, 0.9307690262794495, 0.6891403794288635, 0.1799210011959076]",3.6,5.2284066159270175
2024-12-02,5,16,"[0.6522713899612427, 0.9776403903961182, 0.8310155868530273, 0.6918975710868835, 0.3677690029144287]",3.6,5.430159854089024
2024-12-02,5,17,"[0.6430279612541199, 0.9774097204208374, 0.8155741691589355, 0.6623799800872803, 0.4086235463619232]",3.6,3.885540427255507
2024-12-02,5,18,"[0.5811116695404053, 0.9300651550292969, 0.7733343243598938, 0.5176005363464355, 0.3690870404243469]",3.6,3.1043672561819706
2024-12-02,5,19,"[0.6093651652336121, 0.8162684440612793, 0.5699400305747986, 0.5354081392288208, 0.2877292335033417]",3.6,2.9297325385718263
2024-12-02,5,20,"[0.529416024684906, 0.8152187466621399, 0.6392272710800171, 0.4331016540527344, 0.4090348482131958]",3.6,2.452337005668073
2024-12-02,5,21,"[0.547396719455719, 0.7950934171676636, 0.515848696231842, 0.36195701360702515, 0.4121547341346741]",3.6,2.247092139892793
2024-12-02,5,22,"[0.4340169429779053, 0.8342831134796143, 0.646863579750061, 0.4074118137359619, 0.13561715185642242]",3.6,3.719988990330302
2024-12-02,5,23,"[0.8469383120536804, 0.9658840894699097, 0.5154637694358826, 0.5335390567779541, 0.4143855571746826]",3.6,1.3999335103583925
2024-12-02,5,24,"[0.4130217432975769, 0.6582329869270325, 0.47899651527404785, 0.15910544991493225, -0.0016652181511744857]",3.6,1.1810524964273257
2024-12-02,6,1,"[0.4076549708843231, 0.6732931137084961, 0.5098404884338379, 0.13255715370178223, -0.04302765429019928]",2.3995018714666365,1.1337287010022916
2024-12-02,6,2,"[0.37880781292915344, 0.6599199175834656, 0.6216935515403748, 0.1430540233850479, -0.15069544315338135]",2.7707335281372067,1.1517406824274015
2024-12-02,6,3,"[0.4119178354740143, 0.6647679209709167, 0.4468157887458801, 0.12318526208400726, -0.015123987570405006]",3.174413006901741,1.3104266383213927
2024-12-02,6,4,"[0.5357915759086609, 0.7312962412834167, 0.5125033855438232, 0.023389318957924843, 0.004815675318241119]",3.6,1.6725104168409852
2024-12-02,6,5,"[0.5490297675132751, 0.7781881093978882, 0.72945636510849, 0.07396607100963593, -0.09462250769138336]",3.6,1.671829341548935
2024-12-02,6,6,"[0.5527632236480713, 0.7758015394210815, 0.7188358902931213, 0.08032288402318954, -0.11635112017393112]",3.6,1.8405338834291531
2024-12-02,6,7,"[0.61045902967453, 0.7742860913276672, 0.6845917105674744, 0.08416976034641266, -0.0599859356880188]",3.6,2.454103785283706
2024-12-02,6,8,"[0.6586443185806274, 0.8482574224472046, 0.8001363277435303, 0.02471529133617878, -0.09134653955698013]",3.6,2.4583901839764875
2024-12-02,6,9,"[0.6654757857322693, 0.8512024283409119, 0.816247820854187, 0.010604058392345905, -0.13581043481826782]",3.6,2.743751769225149
2024-12-02,6,10,"[0.5595357418060303, 0.9019955396652222, 0.7690007090568542, 0.3756031095981598, 0.049545768648386]",3.6,3.3415450863360587
2024-12-02,6,11,"[0.6826773881912231, 0.9212116003036499, 0.7648831009864807, 0.4074786603450775, 0.19106943905353546]",3.6,3.0497018093151067
2024-12-02,6,12,"[0.5261428952217102, 0.9162461161613464, 0.7578606009483337, 0.41269752383232117, 0.08829560875892639]",3.6,2.8666515557915733
2024-12-02,6,13,"[0.5879526734352112, 0.875609278678894, 0.6701835989952087, 0.4139712452888489, 0.15728476643562317]",3.6,2.316762462079045
2024-12-02,6,14,"[0.6250502467155457, 0.842012345790863, 0.6252031922340393, 0.28688597679138184, 0.12960173189640045]",3.6,2.7697240196175925
2024-12-02,6,15,"[0.6346074342727661, 0.8590694665908813, 0.5562735199928284, 0.4045565724372864, 0.3073352873325348]",3.6,2.348631222219696
2024-12-02,6,16,"[0.583513081073761, 0.8111396431922913, 0.5544154047966003, 0.4043942987918854, 0.4190206229686737]",3.6,2.924143789118731
2024-12-02,6,17,"[0.5466190576553345, 0.8775128126144409, 0.7509152889251709, 0.4708276093006134, 0.4509749710559845]",3.6,3.1913737343242485
2024-12-02,6,18,"[0.5754665732383728, 0.8704268932342529, 0.7288619875907898, 0.48547646403312683, 0.49535632133483887]",3.6,3.963871752011358
2024-12-02,6,19,"[0.5021541714668274, 0.9168431162834167, 0.8121198415756226, 0.6043593883514404, 0.27629393339157104]",3.6,4.306962283901322
2024-12-02,6,20,"[0.5076234340667725, 0.9308712482452393, 0.8290401101112366, 0.5937095284461975, 0.21558427810668945]",3.6,3.789152195380231
2024-12-02,6,21,"[0.4216873049736023, 0.8667176365852356, 0.7487046718597412, 0.5743011832237244, 0.21936063468456268]",3.6,3.051840432384296
2024-12-02,6,22,"[0.5298013091087341, 0.8549901843070984, 0.7310270667076111, 0.36437126994132996, 0.05443504825234413]",3.6,2.5252406062194086
2024-12-02,6,23,"[0.5534522533416748, 0.8438377380371094, 0.7064627408981323, 0.2623994052410126, -0.02889631688594818]",3.6,2.3020472697823227
2024-12-02,6,24,"[0.4911324083805084, 0.8554314374923706, 0.7228826880455017, 0.26120758056640625, -0.039738208055496216]",3.6,2.1357519681250654
2024-12-02,7,1,"[0.5550427436828613, 0.8561077117919922, 0.6831494569778442, 0.3066011667251587, -0.06749193370342255]",2.5439418888092042,2.005607125231463
2024-12-02,7,2,"[0.5837250351905823, 0.8144656419754028, 0.6150627136230469, 0.21498039364814758, -0.0363820344209671]",3.1159924232959746,2.0971932016688033
2024-12-02,7,3,"[0.5633600354194641, 0.829740583896637, 0.7243225574493408, 0.24297869205474854, -0.13323388993740082]",3.6,2.0659026372462552
2024-12-02,7,4,"[0.6044221520423889, 0.8251094818115234, 0.6653945446014404, 0.19156453013420105, -0.05915526673197746]",3.6,1.9664355500482165
2024-12-02,7,5,"[0.556633710861206, 0.8360344767570496, 0.7485709190368652, 0.16766858100891113, -0.1254945546388626]",3.6,2.190757866430136
2024-12-02,7,6,"[0.4840536415576935, 0.8490469455718994, 0.7862023711204529, 0.22835655510425568, -0.18039456009864807]",3.6,1.9268668322543587
2024-12-02,7,7,"[0.6050320863723755, 0.8136608600616455, 0.6622881889343262, 0.07090548425912857, 0.010743815451860428]",3.6,1.9552460814372794
2024-12-02,7,8,"[0.5666446089744568, 0.8056805729866028, 0.7308437824249268, 0.1048850491642952, -0.10783480852842331]",3.6,2.345231396175226
