Date,Episode,Total_Reward,Total_Loss
2024-12-02,90,-406.5064600324534,25.77073718525445
2024-12-02,91,-406.4426527785809,23.742115720845
2024-12-02,92,-430.43779191812934,48.72096570986262
2024-12-02,93,-425.596975071109,45.051603995542614
2024-12-02,94,-442.71549191857935,60.240558930962635
2024-12-02,95,-441.9286779846495,59.39704291510788
2024-12-02,96,-451.38421594540455,66.45849335688307
2024-12-02,97,-411.1604536146208,27.947481521713897
2024-12-02,98,-402.8832155627734,20.970101740911726
2024-12-02,99,-420.85529753556347,40.28190263265204
2024-12-02,100,-434.7877769803904,54.055077158258214
2024-12-02,101,-431.28629471304964,48.44018869989274
2024-12-02,102,-432.50893102959014,51.44257011652295
2024-12-02,103,-430.7340193035156,48.6727763545081
2024-12-02,104,-413.2039307090471,31.100518735894962
2024-12-02,105,-398.5678234287693,16.33059819550612
2024-12-02,106,-419.27995311386,37.94923840017791
2024-12-02,107,-430.8041238170994,49.57729471029944
2024-12-02,108,-435.6572484539015,54.20053855634381
2024-12-02,109,-435.9162430157862,53.563775077088984
2024-12-02,110,-429.47371241057994,47.20698569078868
2024-12-02,111,-407.95905561158906,26.9109445883051
2024-12-02,112,-399.89658797268777,17.75058319458992
2024-12-02,113,-423.79518503530466,43.761351085221555
2024-12-02,114,-435.00814706862434,53.222148309560716
2024-12-02,115,-431.13159258557766,49.5877738006224
2024-12-02,116,-439.6603722212511,57.01661970259471
2024-12-02,117,-439.2097994154839,56.713259241929705
2024-12-02,118,-409.6101067685048,28.306619691958897
2024-12-02,119,-402.26080209252115,20.41123133268362
2024-12-02,120,-425.07027652648975,45.013773388407756
2024-12-02,121,-431.33112979704964,49.19030658756112
2024-12-02,122,-435.69962927227084,54.001223919441564
2024-12-02,123,-432.8574160172374,50.98458654045584
2024-12-02,124,-431.1734407385738,48.21854751394497
2024-12-02,125,-407.424500333255,26.337571969222424
2024-12-02,126,-400.0780428418941,17.22922973714944
2024-12-02,127,-425.53446783776525,42.75234953903932
